 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	2.696	2.344	3.677	2.344	3.677	7.671	1.695	2.169	1.364	2.958	2.908	1.181	101.542	0.576	3.032	246	256	102.755	1.271	2.462	0.406	0.958
2	2.415	7.092	4.652	7.092	4.652	8.888	6.229	3.093	1.525	2.932	2.831	1.086	105.411	0.384	3.146	735	366	111.658	1.179	2.606	0.384	0.903
3	2.649	11.019	4.927	11.019	4.927	8.298	10.271	3.356	1.508	2.966	2.769	1.218	72.675	0.483	2.978	1238	746	84.776	1.348	2.273	0.440	0.884
4	3.012	15.254	5.041	15.254	5.041	9.267	14.475	3.551	1.449	3.085	2.851	1.345	92.305	0.441	3.086	1798	419	91.888	1.448	2.120	0.472	0.939
5	2.583	2.735	8.613	2.735	8.613	7.686	2.119	7.017	1.322	2.992	2.762	1.191	92.507	0.550	3.034	271	828	99.646	1.322	2.320	0.431	0.930
6	3.607	6.715	8.988	6.715	8.988	9.218	5.890	7.085	1.585	3.475	3.168	1.450	97.934	0.533	3.523	758	836	99.553	1.560	2.186	0.458	0.944
7	1.581	13.258	8.700	13.258	8.700	6.000	12.712	7.483	1.119	2.322	2.201	0.915	104.560	0.552	2.385	1519	883	103.147	0.925	2.406	0.416	0.960
8	2.862	10.528	11.695	10.528	11.695	7.839	9.915	10.025	1.254	3.186	3.081	1.183	96.807	0.585	3.190	1217	1183	92.589	1.196	2.605	0.384	0.978
9	0.554	15.744	12.170	15.744	12.170	4.455	15.432	11.347	0.780	1.407	1.376	0.513	107.506	0.351	1.477	1837	1339	109.787	0.618	2.681	0.373	0.832
10	2.471	3.004	13.322	3.004	13.322	7.570	2.297	12.051	1.525	2.593	2.585	1.217	111.075	0.542	2.896	295	1424	117.165	1.329	2.123	0.471	0.923
11	1.073	6.820	13.358	6.820	13.358	4.668	6.356	12.441	0.864	1.788	1.681	0.813	91.633	0.619	1.805	815	1468	97.826	0.863	2.069	0.483	0.958
