 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.278	11.681	11.556	11.681	11.556	12.404	10.555	9.227	2.218	4.000	2.963	1.838	92.166	0.349	4.014	1361	1098	94.803	2.133	1.612	0.620	0.784
2	2.941	14.438	11.365	14.438	11.365	9.799	13.470	9.639	1.824	3.092	2.438	1.536	92.025	0.385	3.131	1680	1515	81.043	1.749	1.587	0.630	0.820
3	3.458	8.893	11.970	8.893	11.970	9.711	8.000	9.865	1.824	3.429	2.758	1.596	99.090	0.461	3.468	1016	1174	102.454	1.780	1.728	0.579	0.842
4	1.963	4.189	11.746	4.189	11.746	7.249	3.471	10.336	1.454	2.487	1.967	1.270	91.942	0.469	2.491	488	1230	93.287	1.446	1.549	0.646	0.818
5	1.577	6.289	11.809	6.289	11.809	5.965	5.613	10.731	1.387	1.908	1.599	1.256	103.711	0.557	1.938	705	1277	100.238	1.333	1.274	0.785	0.885
6	5.972	17.202	15.653	17.202	15.653	15.326	16.084	13.067	2.328	4.588	3.785	2.009	80.698	0.319	4.657	2024	2101	80.130	2.304	1.884	0.531	0.832
7	3.204	14.018	15.509	14.018	15.509	10.321	13.210	13.496	1.597	3.370	2.740	1.489	87.129	0.378	3.375	1665	2007	86.717	1.566	1.841	0.543	0.846
8	5.841	7.719	15.742	7.719	15.742	13.104	6.454	13.538	2.622	3.849	3.181	2.338	80.409	0.427	3.859	890	2069	85.754	2.440	1.361	0.735	0.847
9	4.725	10.752	15.828	10.752	15.828	11.673	9.697	13.807	2.134	3.714	3.072	1.958	79.842	0.436	3.753	1242	2085	81.761	2.095	1.569	0.637	0.883
10	4.216	4.463	16.098	4.463	16.098	10.533	3.370	14.050	2.025	3.622	2.889	1.858	93.662	0.478	3.622	530	2103	88.937	2.011	1.555	0.643	0.855
