 	Area	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	4.007	5.951	3.540	5.951	3.540	14.932	4.908	1.546	2.336	3.395	2.660	1.918	117.566	0.226	3.538	636	184	113.520	2.234	1.386	0.721	0.771
2	3.613	10.159	3.644	10.159	3.644	9.912	9.092	1.891	1.966	3.134	2.613	1.761	79.933	0.462	3.213	1184	598	77.309	1.851	1.484	0.674	0.858
3	3.720	14.491	4.379	14.491	4.379	9.563	13.521	2.513	1.849	3.336	2.777	1.706	85.155	0.511	3.361	1699	696	82.964	1.838	1.628	0.614	0.900
4	1.539	2.074	4.363	2.074	4.363	6.532	1.370	3.227	1.454	2.008	1.655	1.184	89.300	0.453	2.017	211	623	84.741	1.395	1.398	0.715	0.826
5	0.824	2.697	6.765	2.697	6.765	4.871	2.218	6.059	0.924	1.664	1.389	0.756	80.187	0.437	1.723	283	918	72.979	0.915	1.838	0.544	0.789
6	0.420	4.146	6.766	4.146	6.766	3.213	3.773	6.319	0.731	1.084	0.948	0.564	67.066	0.511	1.119	479	881	71.157	0.651	1.681	0.595	0.839
7	2.911	8.446	7.562	8.446	7.562	8.875	7.580	6.496	1.916	2.840	2.327	1.593	72.747	0.464	2.879	969	1110	63.285	1.663	1.460	0.685	0.871
8	1.321	11.815	7.097	11.815	7.097	5.554	11.000	6.546	1.941	1.143	1.576	1.067	170.842	0.538	1.965	1309	835	171.142	1.133	1.476	0.677	0.858
9	2.258	10.147	10.546	10.147	10.546	7.952	9.193	9.378	1.874	2.723	2.662	1.080	59.972	0.449	2.995	1099	1438	58.540	1.279	2.464	0.406	0.905
10	3.454	7.414	11.490	7.414	11.490	9.538	6.664	9.521	1.664	3.370	3.036	1.448	100.807	0.477	3.463	816	1133	103.328	1.622	2.096	0.477	0.895
11	3.721	3.615	11.814	3.615	11.814	11.405	2.639	9.933	2.059	3.244	2.564	1.848	104.172	0.359	3.274	390	1182	97.818	2.046	1.388	0.720	0.777
12	1.838	13.829	12.044	13.829	12.044	6.908	13.000	11.202	1.782	1.950	2.032	1.151	54.533	0.484	2.403	1550	1564	47.551	1.246	1.765	0.566	0.864
