tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwa,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
1478,Cucu Mesa,Low,blue oak,14,NA,NA,0.5714,0.0154991399753709,-120.050047092479,34.6963011819028,B1478,,B,NA,3843326.683607327,770221.2332349697,early
1478,Cucu Mesa,Low,blue oak,15,1.6904,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,,B,-2.517933333333333,3843326.683607327,770221.2332349697,early
1478,Cucu Mesa,Low,blue oak,17,2.221,0.0141149479054596,0.903,0.0149032080842946,-120.050047092479,34.6963011819028,B1478,,B,NA,3843326.683607327,770221.2332349697,NA
1478,Cucu Mesa,Low,blue oak,19,2.535,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,,B,1.899,3843326.683607327,770221.2332349697,late
1478,Cucu Mesa,Low,blue oak,21,3.9875,NA,1.55266666666667,NA,-120.050047092479,34.6963011819028,B1478,,B,1.7691666666666666,3843326.683607327,770221.2332349697,late
1478,Cucu Mesa,Low,blue oak,29,4.13333333333333,0.00933965589589986,NA,NA,-120.050047092479,34.6963011819028,B1478,,B,1.41083333333333,3843326.683607327,770221.2332349697,late
1478,Cucu Mesa,Low,blue oak,38,NA,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,,B,NA,3843326.683607327,770221.2332349697,late
1478,Cucu Mesa,Low,blue oak,NA,NA,NA,NA,NA,-120.050047092479,34.6963011819028,B1478,,B,NA,3843326.683607327,770221.2332349697,NA
2004,Cucu Mesa,High,blue oak,10,1.65333333333333,NA,0.3335,NA,-120.049956242087,34.6974432545576,B2004,,B,NA,3843453.632533716,770225.84103764,early
2004,Cucu Mesa,High,blue oak,14,2.38333333333333,0.0125819181867355,0.38925,0.0160394347034031,-120.049956242087,34.6974432545576,B2004,,B,1.3943333333333303,3843453.632533716,770225.84103764,early
2004,Cucu Mesa,High,blue oak,15,2.2,NA,NA,NA,-120.049956242087,34.6974432545576,B2004,,B,NA,3843453.632533716,770225.84103764,early
2004,Cucu Mesa,High,blue oak,17,2.62066666666667,0.0129583948819918,0.9345,0.0139502592226925,-120.049956242087,34.6974432545576,B2004,,B,0.9483333333333366,3843453.632533716,770225.84103764,NA
2004,Cucu Mesa,High,blue oak,21,2.6858,NA,1.81766666666667,NA,-120.049956242087,34.6974432545576,B2004,,B,0.3624666666666667,3843453.632533716,770225.84103764,late
2004,Cucu Mesa,High,blue oak,29,NA,NA,2.138,0.0098204145931127,-120.049956242087,34.6974432545576,B2004,,B,NA,3843453.632533716,770225.84103764,late
2004,Cucu Mesa,High,blue oak,38,NA,NA,NA,NA,-120.049956242087,34.6974432545576,B2004,,B,NA,3843453.632533716,770225.84103764,late
2004,Cucu Mesa,High,blue oak,NA,NA,NA,NA,NA,-120.049956242087,34.6974432545576,B2004,,B,NA,3843453.632533716,770225.84103764,NA
2005,Cucu Mesa,High,blue oak,10,1.46666666666667,NA,1.045,NA,-120.050261041168,34.697473527913,B2005,,B,NA,3843456.1718939813,770197.8139911309,early
