 	Area	Mean	Min	Max
1	3.940	255	255	255
2	13.609	255	255	255
3	11.353	255	255	255
4	10.625	255	255	255
5	12.572	255	255	255
6	9.287	255	255	255
7	10.509	255	255	255
8	14.443	255	255	255
9	9.892	255	255	255
10	12.661	255	255	255
