Site,Plot,Species,Tag,Notes,SHIFT-Plot Name ,SHIFT-Unique ID ,SHIFT-ID,,,
Cucu Mesa,Low,blue oak,1478,,SRL-015,1366,1366,,,
Cucu Mesa,High,blue oak,2004,,SRL-010,1351,1351,,,
Cucu Mesa,High,blue oak,2005,,SRL-011,1354,1354,,,
Cucu Mesa,High,blue oak,2006,,SRL-014,1363,1363,,,
Cucu Mesa,High,blue oak,2007,,SRL-013,1360,1360,,,
Cucu Mesa,High,blue oak,2008,,SRL-012,1357,1357,,,
LL,Hobbiton,blue oak,2009,,SRC-029,,,,,
LL,Weathertop,blue oak,2010,,SRC-017,,,Lee has in notebook sample # 592,,
LL,Weathertop,blue oak,2011,,SRC-019,,,Lee has in notebook sample # 600,,
Cucu Mesa,Low,blue oak,2012,,SRL-017,1372,1372,,,
Cucu Mesa,Low,blue oak,2013,dropped from sampling because small canopy,SRL-018,1375,1375,,,
Cucu Mesa,Low,blue oak,2014,,,,,,,
Cucu Mesa,Low,blue oak,2015,,previosuly I put srl-016 but not right in imagery,1369,1369,,,
Cucu Mesa,Low,blue oak,2016,missing tag,SRL-016,,,,,Piper needs to double check because of fudge up (classic)
Chamise,Chamise,blue oak,2020,,SRL-020,,,,,Piper's proposed names for labeling Anderegg Trees using SHIFT protocol
Chamise,Chamise,blue oak,2021,,SRL-021,,,,,
Chamise,Chamise,live oak,2022,,SRL-022,,,,,
Chamise,Chamise,live oak,2023,,SRL-023,,,,,
Chamise,Chamise,blue oak,2024,,SRL-024,,,,,
Chamise,Chamise,blue oak,2025,,SRL-025,,,,,
Chamise,Shedd,blue oak,2026,,SRL-026,,,,,
Chamise,Shedd,blue oak,2027,,SRL-027,SRC-027,<- Put in as which is wrong,,,
Chamise,Shedd,blue oak,2028,,SRL-028,,,,,
Chamise,Shedd,live oak,2029,,SRL-029,,,,,
Chamise,Shedd,live oak,2030,,SRL-030,,,,,
Chamise,Shedd,blue oak,2031,,SRL-031,,,,,
PineNeedle,Low,blue oak,2085,mislabeled 2086 in the lat-lon spreadsheet,SRL-001,,,,,Not sure the SHIFT label is correct to the corresponding trees  
PineNeedle,Low,blue oak,2086,,SRL003,,,,,
PineNeedle,Low,blue oak,2087,,SRL-007,,,,,
PineNeedle,Low,blue oak,2088,,SRL-002,1327,1327,,,
PineNeedle,Low,live oak,2089,,SRL-008,1345,1345,,,
PineNeedle,Low,blue oak,2090,,SRL-006,1339,1339,,,
PineNeedle,Low,live oak,2091,,SRL-005,1336,1336,,,
PineNeedle,Low,live oak,2092,,SRL-004,1333,1333,,,
PineNeedle,Low,live oak,2093,,SRL-009,,,,,
LL,Hobbiton,live oak,2301,,SRC-031,,,Lee has in notebook sample # 554,,
LL,Hobbiton,blue oak,2302,,,,,,,
LL,Hobbiton,blue oak,2303,,,,,,,
LL,Hobbiton,blue oak,2304,,,,,,,
LL,Hobbiton,blue oak,2305,,,,,,,
LL,Hobbiton,blue oak,2306,,,,,,,
LL,Hobbiton,blue oak,2307,,,,,,,
LL,Hobbiton,blue oak,2308,,,,,,,
LL,Hobbiton,blue oak,2309,,SRL-032,,,,,
LL,Ridge,blue oak,2310,,,,,,,
LL,Ridge,blue oak,2311,,,,,,,
LL,Ridge,blue oak,2312,,,,,,,
LL,Ridge,blue oak,2313,,SRL-033,,,,,
LL,Ridge,blue oak,2314,,,,,,,
LL,Ridge,live oak,2315,,,,,,,
LL,Ridge,blue oak,2316,,,,,,,
LL,Ridge,blue oak,2317,,,,,,,
LL,Ridge,blue oak,2318,,,,,,,
LL,Ridge,blue oak,2319,,,,,,,
LL,Ridge,live oak,2320,,,,,,,
LL,Ridge,blue oak,2321,,,,,,,
LL,Ridge,live oak,2322,,SRL-034,,,,,
LL,Ridge,live oak,2323,,,,,,,
